objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
3050,3050.png,,LC3050,image/png,Liberated Computer,,,2023,,Chromebox,Computers,,,,,,,,,3050,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Computer,eng,https://mostlyharmless.io/
lap,ASUS_AP.png,,LAP,image/png,Wireless Access Point,,,2023,,Access Point,Routers,,,,,,,,,lap,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Device,eng,https://mostlyharmless.io/
bl,bed_Lamp.png,,Bed Lamp,image/png,Liberated Bed Side Lamp,,,2024,,Lamp,Lights,,,,,,,,,bl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
c100,C100.png,,C100,image/png,Liberated Smart Camera,,,2023,,Camera,Cameras,,,,,,,,,c100,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Camera,eng,https://mostlyharmless.io/
c220,C220.png,,C220,image/png,Liberated Smart Camera,,,2023,,Camera,Cameras,,,,,,,,,c220,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Camera,eng,https://mostlyharmless.io/
clr15,ceiling_Light_R_15W.png,,Ceiling Light Round,image/png,Liberated Ceiling Light ,,,2023,,Ceiling Light,Lights,,,,,,,,,clr15,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
cobl,COB_Light.png,,COB Light Round,image/png,Liberated Ceiling Light ,,,2023,,Ceiling Light,Lights,,,,,,,,,cobl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
ldb,doorbell.png,,LDB,image/png,Liberated Video Doorbell,,,2024,,Doorbell Camera,Cameras,,,,,,,,,ldb,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Camera,eng,https://mostlyharmless.io/
dlr,downlight_Polycab_R.png,,Down Light Round,image/png,Liberated Down Light,,,2023,,Down Light,Lights,,,,,,,,,dlr,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
dls,downlight_Polycab_S.png,,Down Light Square,image/png,Liberated Down Light,,,2023,,Down Light,Lights,,,,,,,,,dls,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
ek,electric_Kettle.png,,Electric Kettle,image/png,Liberated Electric Kettle,,,2022,,Electric Kettle,Appliance,,,,,,,,,ek,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Appliance,eng,https://mostlyharmless.io/
ld,LED_Dimmer.png,,LED Dimmer,image/png,Smart LED Dimmer,,,2024,,LED Dimmer,Lights,,,,,,,,,ld,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
lsc,LED_Strip_Controller.png,,LED Strip Controller,image/png,Liberated LED Strip Controller Module,,,2023,,Actuators,Lights,,,,,,,,,lsc,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
lpg45,LPG45.png,,LPG45,image/png,Liberated Motorola G45,,,2024,,Smartphone,Phones,,,,,,,,,lpg45,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Smartphone,eng,https://mostlyharmless.io/
lr225,LR-225.png,,LR225,image/png,Liberated Router,,,2023,,Router,Routers,,,,,,,,,lr225,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Device,eng,https://mostlyharmless.io/
mh66,MH66.png,,MH66,image/png,Liberated Mechanical Keyboard,,,2024,,Keyboard,Keyboards,,,,,,,,,mh66,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Device,eng,https://mostlyharmless.io/
pow,POW.png,,Power Meter,image/png,Liberated Smart Power Meter,,,2024,,Power Meter,Switches,,,,,,,,,pow,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
lps,power_Strip.png,,Power Strip,image/png,Liberated Smart Power Strip,,,2024,,Power Strip,Switches,,,,,,,,,lps,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
lr,router.png,,LR ,image/png,Liberated Router,,,2024,,Router,Routers,,,,,,,,,lr,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Device,eng,https://mostlyharmless.io/
ss_1_2_4,smart_Switch_1_2_4.png,,Smart Switch,image/png,Liberated Smart Switch,,,2024,,Smart Switch,Switches,,,,,,,,,ss_1_2_4,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
ss_1_2,smart_Switch_1_2.png,,Smart Switch,image/png,Liberated Smart Switch,,,2024,,Smart Switch,Switches,,,,,,,,,ss_1_2,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
ss_4_Plug,smart_Switch_4_Plug.png,,Smart Switch,image/png,Liberated Smart Switch,,,2024,,Smart Switch,Switches,,,,,,,,,ss_4_Plug,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
ss_4,smart_Switch_4.png,,Smart Switch,image/png,Liberated Smart Switch,,,2024,,Smart Switch,Switches,,,,,,,,,ss_4,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
t480,T480.png,,T480,image/png,Liberated ThinkPad,,,2024,,ThinkPad;Laptop,Computers,,,,,,,,,t480,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Computer,eng,https://mostlyharmless.io/
tl,table_Lamp.png,,Table Lamp,image/png,Liberated Table Lamp,,,2024,,Lamp,Lights,,,,,,,,,tl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
ltl,tube_Light.png,,Tube Light,image/png,Liberated Wifi Tube Light,,,2024,,Tube Light,Lights,,,,,,,,,ltl,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
ws,wifi_Switch.png,,Smart Wifi Switch,image/png,Liberated Smart Wifi Switch,,,2024,,Smart Wifi Switch,Switches,,,,,,,,,ws,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
z4wps,zigbee_4way_Panel_Switch.png,,Z4WPS,image/png,Zigbee 4 Way Panel Switch,,,2024,,Panel Switch,Switches,,,,,,,,,z4wps,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
zps,zigbee_Presence_Sensor.png,,ZPS,image/png,Zigbee Presence Sensor,,,2024,,Sensor,Sensors,,,,,,,,,zps,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Sensor,eng,https://mostlyharmless.io/
zsr,zigbee_Switch_R.png,,ZS Round,image/png,Zigbee Switch,,,2024,,Smart Switch,Switches,,,,,,,,,zsr,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Switch,eng,https://mostlyharmless.io/
zts,zigbee_Temp_Sensor.png,,ZT Sensor,image/png,Zigbee Temperature Sensor,,,2024,,Temperature Sensor,Sensors,,,,,,,,,zts,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Sensor,eng,https://mostlyharmless.io/
zx,zyxel.png,,Zyxel,image/png,Liberated Zyxel WiFi Extender,,,2024,,Router,Routers,,,,,,,,,zx,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Device,eng,https://mostlyharmless.io/
clr30,ceiling_Light_R_30W.png,,Ceiling Light Round,image/png,Liberated Ceiling Light ,,,2023,,Ceiling Light,Lights,,,,,,,,,clr30,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Light,eng,https://mostlyharmless.io/
